# dVx,dVy,dVz,time to request
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.441665538005813874e-01,2.085045586115982230e-01,1.535061649849339460e+00,7.048877391938510040e-02
2.173755233661268660e-01,1.204705379847732793e-01,2.339228347467348368e-01,1.556018892619486671e+00
2.941312865060696433e-03,-6.924600717929582094e-01,2.223361183217116011e-01,7.047726390937021634e-02
-2.941312865060696433e-03,6.924600717929582094e-01,-2.223361183217116011e-01,nan
