# dVx,dVy,dVz,time to request
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.127915446576717606e-01,8.775599782407801364e-01,1.659985844212569672e+00,7.232612625340491264e-02
6.233762941576974637e-01,-9.418052445455820099e-01,-4.756822302616715153e-02,1.702266472107729633e+00
-1.619498767825651719e-01,-1.810908376849887647e-01,-1.102324755041304449e+00,7.230275016541957978e-02
1.619498767825651719e-01,1.810908376849887647e-01,1.102324755041304449e+00,nan
