# dVx,dVy,dVz,time to request
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.372399959967571526e-01,-1.098317315956460316e+00,-1.334033735573771917e+00,7.867261514363038666e-02
-4.748757172461241099e-02,-7.966243706450343298e-01,1.203106868921550721e+00,7.852388153289391326e-01
-7.286680610113911438e-01,-9.545007028234413216e-02,6.888604230287640462e-01,7.866664601476561214e-02
7.286680610113911438e-01,9.545007028234413216e-02,-6.888604230287640462e-01,nan
