# dVx,dVy,dVz,time to request
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.189812888364909060e+00,3.141139075426044869e-01,1.336635918388791699e+00,7.048877391938510040e-02
2.604029484291680574e-01,7.868576388546907885e-02,6.153879062396890864e-01,1.426311525025052429e+00
2.048361018604416828e-01,-7.128807692271695862e-01,4.327526231719783234e-02,7.047270292370767797e-02
-2.048361018604416828e-01,7.128807692271695862e-01,-4.327526231719783234e-02,nan
