# dVx,dVy,dVz,time to request
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.390114245347331234e+01,3.294345117899501929e+01,2.415874395046830614e+01,7.048877391935093328e-02
-1.881807492290272421e+01,-3.511341734890993393e+01,-2.555624716348438596e+01,1.556018892619486671e+00
8.541312865060696424e+00,-9.924600717929582538e-01,9.223361183217115844e-01,7.047726390937021634e-02
-8.541312865060696424e+00,9.924600717929582538e-01,-9.223361183217115844e-01,nan
