# dVx,dVy,dVz,time to request
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.905597242481651854e-01,1.427529435849888451e+00,-1.519434239831529421e-01,7.048877391938510040e-02
1.924496501969081841e-01,3.680758063752816167e-02,2.127968965136263768e-01,1.630070891146870427e+00
9.357514377271020090e-01,-2.355676415356416364e-01,-5.978899289981640108e-02,7.048360902595540711e-02
-9.357514377271020090e-01,2.355676415356416364e-01,5.978899289981640108e-02,nan
