# dVx,dVy,dVz,time to request
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.577856779294991796e-01,-1.013612002835480724e-01,1.628495457636244481e+00,7.048877391938510040e-02
-1.068055793713823670e-01,3.521111980841505895e-01,8.604920523129055976e-01,1.493342366358491491e+00
-3.044733369465126849e-01,-9.223104015474360429e-01,5.535526638102205021e-01,7.048320465109014776e-02
3.044733369465126849e-01,9.223104015474360429e-01,-5.535526638102205021e-01,nan
