# dVx,dVy,dVz,time to request
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.980658533311794400e+01,-1.837781133583395388e+01,-1.452029783466011459e+01,7.048877391938510040e-02
-3.725893293092494218e+01,-2.225688550992948578e+01,-1.682453812537622539e+01,1.705632508377953771e+00
1.565043534004640080e-01,-9.112899843225361618e-01,4.974243135365866153e-01,7.047965464022820647e-02
-1.565043534004640080e-01,9.112899843225361618e-01,-4.974243135365866153e-01,nan
