# dVx,dVy,dVz,time to request
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.236629474220598990e+00,4.192948657912193844e-01,3.174766310495396038e+00,7.302087610429992826e-02
1.236629474220598990e+00,-4.192948657912193844e-01,-3.174766310495396038e+00,1.557120544743552326e+00
-8.270421031887373875e-01,-2.052001223076057868e-01,-1.490651596660105827e-01,7.306767444200489015e-02
8.270421031887373875e-01,2.052001223076057868e-01,1.490651596660105827e-01,nan
