# dVx,dVy,dVz,time to request
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.434125056107489860e-01,2.038069373381733218e+00,-6.566906791177341829e-02,7.048877391938510040e-02
-1.096942369116070543e-01,1.061612862937281410e+00,-1.602262328816145054e+00,4.407977044602323646e-01
-1.310932735340913702e+00,-6.919285495014041443e-01,-2.913504247280255255e-01,1.058032464984304699e+00
4.789685403211517145e-01,-1.718757748432377719e+00,1.156261129000134558e+00,7.048325661019992638e-02
-4.789685403211517145e-01,1.718757748432377719e+00,-1.156261129000134558e+00,nan
